Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,INSDC_center_alias,create_date,version,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,Submitter_Id,common_name,Collection_Date,Strain,Isolation_source,specific_host,anonymized_name,COUNTRY,host_status,sub_species,supplier_name,ArrayExpress-SPECIES,Subject_ID,Scientific_Name,Collection_month,Collection_year,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),host_health_state,Isolate,PMID,Region,Tax_ID,Alias,ENA_checklist,SRA_accession,Title,Serovar,selection_source
ERR2759447,WGS,GCA_000069185.1,250,247922750,PRJEB2779,SAMEA104138834,46759301,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2018-08-28,2018-11-16,ERX2772440,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:32Z,public,Illumina HiSeq 2500,DN490108Q:A1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138834,9c25c8e0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138834,9c25c8e0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759448,WGS,GCA_000069185.1,250,234726000,PRJEB2779,SAMEA104138835,50996446,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2018-08-28,2018-11-16,ERX2772441,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:32Z,public,Illumina HiSeq 2500,DN490108Q:B1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138835,9c37f150-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138835,9c37f150-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759449,WGS,GCA_000069185.1,250,235427500,PRJEB2779,SAMEA104138836,53358376,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772442,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:33Z,public,Illumina HiSeq 2500,DN490108Q:C1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138836,9c489320-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138836,9c489320-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759450,WGS,GCA_000069185.1,250,244737500,PRJEB2779,SAMEA104138837,54572561,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2018-08-28,2018-11-16,ERX2772443,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:33Z,public,Illumina HiSeq 2500,DN490108Q:D1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138837,9c5404d0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138837,9c5404d0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759451,WGS,GCA_000069185.1,250,274817500,PRJEB2779,SAMEA104138838,60009131,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2018-08-28,2018-11-16,ERX2772444,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:34Z,public,Illumina HiSeq 2500,DN490108Q:E1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138838,9c5f4f70-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138838,9c5f4f70-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759452,WGS,GCA_000069185.1,250,252535250,PRJEB2779,SAMEA104138839,56607054,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772445,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:34Z,public,Illumina HiSeq 2500,DN490108Q:F1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138839,9c6a9a10-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138839,9c6a9a10-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759453,WGS,GCA_000069185.1,250,268818250,PRJEB2779,SAMEA104138840,54898447,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2018-08-28,2018-11-16,ERX2772446,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:35Z,public,Illumina HiSeq 2500,DN490108Q:G1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138840,9c75e4b0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138840,9c75e4b0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759454,WGS,GCA_000069185.1,250,275696000,PRJEB2779,SAMEA104138841,57620299,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2018-08-28,2018-11-16,ERX2772447,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:36Z,public,Illumina HiSeq 2500,DN490108Q:H1,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138841,9c8240c0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138841,9c8240c0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759455,WGS,GCA_000069185.1,250,250872250,PRJEB2779,SAMEA104138842,55903613,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772448,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:36Z,public,Illumina HiSeq 2500,DN490108Q:A2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138842,9c8d6450-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138842,9c8d6450-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759456,WGS,GCA_000069185.1,250,241866250,PRJEB2779,SAMEA104138843,53931613,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2018-08-28,2018-11-16,ERX2772449,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:37Z,public,Illumina HiSeq 2500,DN490108Q:B2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138843,9c9b4700-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138843,9c9b4700-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
